2011/10/20	09:07:00	0.01	0.01	0.01	0.01	10.00
2011/10/20	09:08:00	0.01	0.01	0.01	0.01	50.00
2011/10/21	09:10:00	0.01	0.01	0.01	0.01	10.00
2011/10/21	09:11:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:12:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:13:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:14:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:15:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:16:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:17:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:18:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:19:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:20:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:21:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:22:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:23:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:24:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:25:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:26:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:27:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:28:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:29:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:30:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:31:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:32:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:33:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:34:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:35:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:36:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:37:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:38:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:39:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:40:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:41:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:42:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:43:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:44:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:45:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:46:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:47:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:48:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:49:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:50:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:51:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:52:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:53:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:54:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:55:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:56:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:57:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:58:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	09:59:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:00:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:01:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:02:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:03:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:04:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:05:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:06:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:07:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:08:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:09:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:10:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:11:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:12:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:13:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:14:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:15:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:16:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:17:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:18:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:19:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:20:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:21:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:22:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:23:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:24:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:25:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:26:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:27:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:28:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:29:00	0.01	0.01	0.01	0.01	10.00
2011/10/21	10:30:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:31:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:32:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:33:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:34:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:35:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:36:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:37:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:38:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:39:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:40:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:41:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:42:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:43:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:44:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:45:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:46:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:47:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:48:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:49:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:50:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:51:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:52:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:53:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:54:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:55:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:56:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:57:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:58:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	10:59:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:00:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:01:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:02:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:03:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:04:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:05:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:06:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:07:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:08:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:09:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:10:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:11:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:12:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:13:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:14:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:15:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:16:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:17:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:18:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:19:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:20:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:21:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:22:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:23:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:24:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:25:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:26:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:27:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:28:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:29:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:30:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:31:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:32:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:33:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:34:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:35:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:36:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:37:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:38:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:39:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:40:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:41:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:42:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:43:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:44:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:45:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:46:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:47:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:48:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:49:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:50:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:51:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:52:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:53:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:54:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:55:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:56:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:57:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:58:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	11:59:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:00:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:01:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:02:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:03:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:04:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:05:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:06:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:07:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:08:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:09:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:10:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:11:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:12:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:13:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:14:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:15:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:16:00	0.01	0.01	0.01	0.01	0.00
2011/10/21	12:17:00	0.01	0.01	0.01	0.01	0.00
