2012/05/18	10:06:00	8.75	8.75	8.75	8.75	2.00
2012/05/23	11:03:00	5.15	5.15	5.15	5.15	2.00
2012/05/23	11:04:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:05:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:06:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:07:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:08:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:09:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:10:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:11:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:12:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:13:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:14:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:15:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:16:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:17:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:18:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:19:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:20:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:21:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:22:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:23:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:24:00	5.15	5.15	5.15	5.15	0.00
2012/05/23	11:25:00	5.30	5.30	5.30	5.30	10.00
2012/05/23	11:26:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:27:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:28:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:29:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:30:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:31:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:32:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:33:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:34:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:35:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:36:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:37:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:38:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:39:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:40:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:41:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:42:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:43:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:44:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:45:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:46:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:47:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:48:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:49:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:50:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:51:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:52:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:53:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:54:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:55:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:56:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:57:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:58:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	11:59:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	12:00:00	5.30	5.30	5.30	5.30	0.00
2012/05/23	12:01:00	5.30	5.30	5.30	5.30	0.00
