2011/10/24	09:19:00	0.03	0.03	0.03	0.03	2.00
2011/10/24	09:20:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:21:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:22:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:23:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:24:00	0.03	0.03	0.03	0.03	2.00
2011/10/24	09:25:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:26:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:27:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:28:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:29:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:30:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:31:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:32:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:33:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:34:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:35:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:36:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:37:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:38:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:39:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:40:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:41:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:42:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:43:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:44:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:45:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:46:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:47:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:48:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:49:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:50:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:51:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:52:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:53:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:54:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:55:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:56:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:57:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:58:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	09:59:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:00:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:01:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:02:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:03:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:04:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:05:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:06:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:07:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:08:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:09:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:10:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:11:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:12:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:13:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:14:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:15:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:16:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:17:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:18:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:19:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:20:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:21:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:22:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:23:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:24:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:25:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:26:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:27:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:28:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:29:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:30:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:31:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:32:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:33:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:34:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:35:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:36:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:37:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:38:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:39:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:40:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:41:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:42:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:43:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:44:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:45:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:46:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:47:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:48:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:49:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:50:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:51:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:52:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:53:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:54:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:55:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:56:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:57:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:58:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	10:59:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:00:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:01:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:02:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:03:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:04:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:05:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:06:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:07:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:08:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:09:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:10:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:11:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:12:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:13:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:14:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:15:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:16:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:17:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:18:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:19:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:20:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:21:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:22:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:23:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:24:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:25:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:26:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:27:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:28:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:29:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:30:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:31:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:32:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:33:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:34:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:35:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:36:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:37:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:38:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:39:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:40:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:41:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:42:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:43:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:44:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:45:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:46:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:47:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:48:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:49:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:50:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:51:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:52:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:53:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:54:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:55:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:56:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:57:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:58:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	11:59:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	12:00:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	12:01:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	12:02:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	12:03:00	0.03	0.03	0.03	0.03	0.00
2011/10/24	12:04:00	0.07	0.07	0.07	0.07	2.00
2011/10/27	10:50:00	0.06	0.06	0.06	0.06	2.00
2011/10/27	10:51:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	10:52:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	10:53:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	10:54:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	10:55:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	10:56:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	10:57:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	10:58:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	10:59:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:00:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:01:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:02:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:03:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:04:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:05:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:06:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:07:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:08:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:09:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:10:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:11:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:12:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:13:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:14:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:15:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:16:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:17:00	0.06	0.06	0.06	0.06	0.00
2011/10/27	11:18:00	0.06	0.06	0.06	0.06	0.00
