2012/04/17	13:03:00	2.26	2.26	2.26	2.26	10.00
2012/05/23	10:26:00	1.00	1.00	1.00	1.00	10.00
2012/05/23	10:27:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:28:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:29:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:30:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:31:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:32:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:33:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:34:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:35:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:36:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:37:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:38:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:39:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:40:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:41:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:42:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:43:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:44:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:45:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:46:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:47:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:48:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:49:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:50:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:51:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:52:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:53:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:54:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:55:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:56:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:57:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:58:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	10:59:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	11:00:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	11:01:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	11:02:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	11:03:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	11:04:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	11:05:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	11:06:00	1.00	1.00	1.00	1.00	10.00
2012/05/23	11:07:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	11:08:00	1.00	1.00	1.00	1.00	0.00
2012/05/23	11:09:00	0.99	0.99	0.99	0.99	10.00
2012/05/23	11:10:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:11:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:12:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:13:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:14:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:15:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:16:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:17:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:18:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:19:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:20:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:21:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:22:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:23:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:24:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:25:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:26:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:27:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:28:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:29:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:30:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:31:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:32:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:33:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:34:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:35:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:36:00	0.99	0.99	0.99	0.99	0.00
2012/05/23	11:37:00	0.95	0.95	0.95	0.95	10.00
2012/05/23	11:38:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:39:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:40:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:41:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:42:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:43:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:44:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:45:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:46:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:47:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:48:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:49:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:50:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:51:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:52:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:53:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:54:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:55:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:56:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:57:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:58:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	11:59:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:00:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:01:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:02:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:03:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:04:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:05:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:06:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:07:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:08:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:09:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:10:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:11:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:12:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:13:00	0.95	0.95	0.95	0.95	0.00
2012/05/23	12:14:00	0.94	0.94	0.94	0.94	10.00
2012/05/23	12:15:00	0.94	0.94	0.94	0.94	0.00
2012/05/23	12:16:00	0.94	0.94	0.94	0.94	0.00
2012/05/23	12:17:00	0.94	0.94	0.94	0.94	0.00
2012/05/23	12:18:00	0.94	0.94	0.94	0.94	0.00
2012/05/23	12:19:00	0.94	0.94	0.94	0.94	0.00
2012/05/23	12:20:00	0.94	0.94	0.94	0.94	0.00
